Room Type,Room Sub Type
Design and Tech Areas,"Food rooms (restrictive, extg)"
Art and DT Resource Areas,"Heavy practical resource (heat treatment, extg)"
SEN and Support Areas,SEN resource spaces (behaviour support)
Teaching Storage Areas,"Classroom stores, room (off SEN room)"
Non Teaching Storage Areas,General storerooms (central stock)
Toilet Areas,"Toilets, individual (pupil)"
Plant Areas,Plant rooms (cold water tanks)
Classroom Areas,"Semi-open classbases, home base (extensive)"
Creative Art Areas,Drama studios
Design and Tech Areas,Food rooms
Art and DT Resource Areas,"Heavy practical resource (CAD CAM, extg)"
SEN and Support Areas,SEN resource spaces (autism support)
Teaching Storage Areas,Science prep rooms (central)
Non Teaching Storage Areas,General storerooms (community)
Toilet Areas,"Toilets, individual (staff)"
Plant Areas,Plant rooms (sprinkler pumps)
Classroom Areas,Secondary SEN classrooms (ambulant)
Design and Tech Areas,Food rooms (existing for 20)
SEN and Support Areas,SEN resource spaces (PD support)
Teaching Storage Areas,Science prep rooms (satellite)
Non Teaching Storage Areas,Cleaners' stores
Toilet Areas,Accessible (and staff) toilets
Plant Areas,Plant rooms (electrical intake)
Classroom Areas,Classrooms (smaller group)
Design and Tech Areas,Food rooms (2 of 2)
SEN and Support Areas,SEN resource spaces (HI support)
Teaching Storage Areas,"Chemicals stores, science"
Non Teaching Storage Areas,"Equipment stores, maintenance"
Toilet Areas,"Toilets, suite (staff)"
Plant Areas,Services shafts (enclosed ventilation)
Classroom Areas,Classrooms (larger group)
Design and Tech Areas,Catering training kitchens
SEN and Support Areas,SEN resource spaces (VI support)
Teaching Storage Areas,DT prep rooms
Plant Areas,Services shafts (enclosed daylit ventilation)
Design and Tech Areas,DT workshops (existing for 20)
SEN and Support Areas,Quiet calming spaces
Teaching Storage Areas,Food prep rooms
Plant Areas,Services shafts (enclosed electrical)
Design and Tech Areas,"DT workshops (restrictive, extg)"
Teaching Storage Areas,"Sports equipment stores, internal"
Plant Areas,Services shafts (enclosed other)
Design and Tech Areas,DT workshops
Teaching Storage Areas,"Sports equipment stores, internal (sports hall)"
Plant Areas,Light wells (open ventilation)
Design and Tech Areas,DT workshops (2 of 2)
Teaching Storage Areas,"Sports equipment stores, internal (community)"
Plant Areas,Light wells (open daylit ventilation)
Design and Tech Areas,DT workshops (with heat bay)
Teaching Storage Areas,"Sports equipment stores, internal (activity studio)"
Design and Tech Areas,Engineering workshops
Teaching Storage Areas,"Sports equipment stores, internal (off hall)"
Design and Tech Areas,Construction workshops
Teaching Storage Areas,"Sports equipment stores, external"
Hall Areas,Dining halls
Hall Areas,Informal dining spaces
Hall Areas,"Servery areas, meal collection"
Hall Areas,"Servery areas, satellite"
Hall Areas,Social spaces
Hall Areas,Social spaces (sixth form)
Hall Areas,"Assembly halls, secondary (including stage)"
Hall Areas,"Assembly halls, secondary (with bleachers)"
Hall Areas,Dance studios
Hall Areas,Activity studios
Hall Areas,Activity studios (10 x 12)
Hall Areas,Activity studios (10 x 15)
Hall Areas,"Activity studios, 1-court"
Hall Areas,Gymnasiums (existing)
Hall Areas,Squash courts (existing)
Hall Areas,"Indoor activity spaces, other (existing)"
Hall Areas,"Assembly halls, existing"
Hall Areas,"Lecture theatres, existing"
Hall Areas,Indoor swimming pools (existing)
Hall Areas,Climbing wall spaces (indoor)
Hall Areas,"Sports halls, school (1-court)"
Hall Areas,"Sports halls, school (2-court)"
Hall Areas,"Sports halls, school (3-court)"
Hall Areas,"Sports halls, school (4-court)"
Hall Areas,"Sports halls, school (multi-court, extg)"
Hall Areas,"Sports halls, community (multi-court extg)"
Hall Areas,"Sports halls, community (multi-court)"
Hall Areas,"Sports halls, community (4-court)"
Hall Areas,"Sports halls, community (5-court)"
Hall Areas,"Sports halls, community (8-court)"
Hall Areas,"Sports halls, community (12-court)"
Staff and Admin Areas,Confidential meetings rooms (interview)
Staff and Admin Areas,First aid rooms (sick room)
Staff and Admin Areas,First aid posts (sick bay)
Staff and Admin Areas,"Enclosed offices, with recep desk (only)"
Staff and Admin Areas,"Enclosed offices, with recep window"
Staff and Admin Areas,"Enclosed offices, with recep desk (and window)"
Staff and Admin Areas,Reprographics rooms
Staff and Admin Areas,"Work booths, MFD"
Staff and Admin Areas,"Enclosed offices, admin (head)"
Staff and Admin Areas,"Enclosed offices, admin (PA)"
Staff and Admin Areas,"Kitchenettes, room"
Staff and Admin Areas,"Kitchenettes, bay"
Staff and Admin Areas,"Reception areas, entrance (50% circulation)"
Staff and Admin Areas,"Reception areas, community (50% circulation)"
Staff and Admin Areas,Offices
