Room Type,Room Sub Type
Hall Studio and Dining Areas,"Sports halls, community (multi-court, extg)"
Learning Resource Areas,SEN resource spaces
Teaching Storage Areas,"Sports equipment stores, internal (community)"
Plant Areas,Services shafts (enclosed electrical)
Classroom Areas,"Semi-open classbases (junior, extg)"
Hall Studio and Dining Areas,"Sports halls, community (4-court)"
Learning Resource Areas,Small group rooms (inclusion/ withdrawal)
Teaching Storage Areas,"Sports equipment stores, internal (activity studio)"
Plant Areas,Services shafts (enclosed other)
Classroom Areas,"Shared teaching areas, primary (infant)"
Learning Resource Areas,Medical treatment (MI) rooms
Teaching Storage Areas,"Sports equipment stores, internal (off hall)"
Plant Areas,Light wells (open ventilation)
Classroom Areas,"Shared teaching areas, primary (junior)"
Learning Resource Areas,Therapy rooms
Teaching Storage Areas,"Sports equipment stores, external"
Plant Areas,Light wells (open daylit ventilation)
Learning Resource Areas,SEN resource spaces (ambulant support)
Learning Resource Areas,SEN resource spaces (SLCN support)
Learning Resource Areas,SEN resource spaces (behaviour support)
Learning Resource Areas,SEN resource spaces (autism support)
Learning Resource Areas,SEN resource spaces (PD support)
Learning Resource Areas,SEN resource spaces (HI support)
Learning Resource Areas,SEN resource spaces (VI support)
Learning Resource Areas,Sensory rooms (ambulant)
Learning Resource Areas,Quiet calming spaces
Staff and Admin Areas,Confidential meetings rooms (interview)
Staff and Admin Areas,First aid rooms (sick room)
Staff and Admin Areas,First aid posts (sick bay)
Staff and Admin Areas,"Enclosed offices, with recep desk (only)"
Staff and Admin Areas,"Enclosed offices, with recep window"
Staff and Admin Areas,"Enclosed offices, with recep desk (and window)"
Staff and Admin Areas,Reprographics rooms
Staff and Admin Areas,"Work booths, MFD"
Staff and Admin Areas,"Enclosed offices, admin (head)"
Staff and Admin Areas,"Enclosed offices, admin (PA)"
Staff and Admin Areas,"Kitchenettes, room"
Staff and Admin Areas,"Kitchenettes, bay"
Staff and Admin Areas,"Kitchenettes, bay (nursery)"
Staff and Admin Areas,"Reception areas, entrance (50% circulation)"
Staff and Admin Areas,"Reception areas, community (50% circulation)"
Staff and Admin Areas,Offices
Staff and Admin Areas,Offices (1-person)
Staff and Admin Areas,Offices (2-person)
Staff and Admin Areas,Offices (3-person)
Staff and Admin Areas,Offices (4-person)
Staff and Admin Areas,Offices (exams)
Staff and Admin Areas,Offices (with meeting area)
Staff and Admin Areas,"Offices (with meeting area, 1-person)"
Staff and Admin Areas,"Offices (with meeting area, 2-person)"
Staff and Admin Areas,"Offices (with meeting area, 3-person)"
Staff and Admin Areas,Staff workrooms (technical support staff)
Staff and Admin Areas,Staff workrooms (ICT technicians)
Staff and Admin Areas,Staff workrooms (premises)
Staff and Admin Areas,Offices (pastoral)
Staff and Admin Areas,"Offices (pastoral, 1-person)"
Staff and Admin Areas,"Offices (pastoral, 2-person)"
Staff and Admin Areas,"Offices (SENco, learning support)"
Staff and Admin Areas,Offices (visiting professionals)
Staff and Admin Areas,Staff rooms (prep and social)
Staff and Admin Areas,Staff rooms (social)
Staff and Admin Areas,Staff workrooms (teaching staff)
Staff and Admin Areas,Staff workrooms (specially resourced)
Staff and Admin Areas,Staff workrooms (nursery)
Staff and Admin Areas,Meeting rooms (conference)
Staff and Admin Areas,Laundries
